,Unnamed: 0,src,true_meaning,predicted
386,386,सॉ सेरिफ़ डेस्कटॉप फ़ॉन्ट ओवरराइड जब सूक्ति फोंट का उपयोग करने के लिए इस्तेमाल किया जा मान सेट कर दिया जाता है.,A value to be used to override sans-serif desktop font when use-gnome-fonts is set.,"When a quote is used, the font is set to the default."
387,387,"इस समय सब कुछ बहुत शांत है, शिथिल हैं.","At the moment things are very calm, very relaxed.",2) The city has made tremendous progress.
388,388,"[दरवाजा खोलता है, बंद]","[ DOOR OPENS, CLOSES ]","1) The door is ajar, but the mind is closed."
389,389,रियल्म,realm,2
390,390,"याद करो जब अल्लाह ने उन लोगों से, जिन्हें किताब प्रदान की गई थी, वचन लिया था कि ""उसे लोगों के सामने भली-भाँति स्पट् करोगे, उसे छिपाओगे नहीं।"" किन्तु उन्होंने उसे पीठ पीछे डाल दिया और तुच्छ मूल्य पर उसका सौदा किया। कितना बुरा सौदा है जो ये कर रहे है","And [mention, O Muhammad], when Allah took a covenant from those who were given the Scripture, [saying], ""You must make it clear to the people and not conceal it."" But they threw it away behind their backs and exchanged it for a small price. And wretched is that which they purchased.",Alternatives: <list the other English sentences that are similar in meaning and context>
391,391,हेह...,Heh.,"1) I have faced many challenges in my life, but I have never given up."
392,392,DOKE:,DOKE:,3) Hold the country together.
393,393,"नहीं, यह बहुत शांत है.",- It's pretty awesome. - We'll take it.,<select the most relevant English sentence>
394,394,नाम,Name,Stage-1 output: <definition + candidates>
395,395,"शून्य से एक Xbox, £ 150 के बराबर होती है?","MINUS ONE XBOX, £150, EQUALS?",4) <optional more english sentences>
396,396,एलेन का बटुआ. .,Ellen's wallet.,1) A drop in the ocean.
397,397,क्युमुलेटिव,Cumulative,1
398,398,"एक पेट्रोल बम विस्फोट की तस्वीर छपी है जो कि एक बिल्कुल बेतुकी बात है, क्योंकि हम तो बायोडीज़ल प्रयोग करते हैं!","An image of a petrol bomb exploding - which is ludicrous, because we use biodiesel, not petrol!","2) I had called my grandfather once, but he never picks up the phone."
399,399,पुरुष #2:,man #2:,```
