src,true_meaning,literal_translation
逢凶化吉,Turn calamities into blessings,Turning bad luck into good luck
连篇累牍,Long-winded,A series of articles
过屠门而大嚼,Feed oneself on illusions,Chewing through the butchery
过河拆桥,Ingratitude for past help,Cross the river and demolish the bridge
遥相呼应,Coordinate with each other from afar,Echo each other
远水不救近火,Water far away is not of much use in putting out a fire,Far water does not save near fire
适逢其会,Happen to be present at the right moment,Coincides with the meeting
避坑落井,Escape one difficulty only to fall into another,Avoid pits and fall into wells
邪魔歪道,Crooked ways (or means),Demon crooked way
酒囊饭袋,A good-for-nothing person,Wine bag rice bag
酒肉朋友,Fair-weather friends,Wine and meat friends
醉生梦死,Live a life of dreams,Drunk life and dream death
醉翁之意不在酒,"Though one professes to be a drinker, he is really not interested in wine",The drunkard's intention is not the wine
丑态百出,Utterly ridiculous,Act like a buffoon
重蹈覆辙,Recommit the same error,Repeat the same mistakes
重见天日,Once more see the light of day -  be delivered from oppression or persecution,See the sun again
重温旧梦,Revive an old dream,Relive old dreams
量力而行,Act according to one's ability,Do what you can
量入为出,Make both ends meet,Live within your means
量材录用,Assign jobs to people according to their talents,Quantity material acceptance
金科玉律,Laws and regulations,The golden rule
金蝉脱壳,Escape unnoticed,Golden cicada shells
金石为开,The utmost sincerity can influence even the metal and stone,Gold stone is open
金瓯无缺,Unimpaired territorial integrity,Ca Mau is flawless
金玉其外，败絮其中,Shining on the outside but rotten on the inside,"The gold and jade are outside, andthe corruption is in it"
釜底抽薪,Take a drastic measure to deal with a situation,Salary from the bottom of the pot
针锋相对,Blow for blow,Tit for tat
银样蜡枪头,A pewter spearhead that shines like silver - an impressive looking but useless person,Silver wax tip
钢筋铁骨,A brass and iron constitution - a strong man,Reinforced iron bones
铭感终身,Remain deeply grateful for the rest of one's life,Impressive for life
铤而走险,Rush headlong into danger,Take the risk
锋芒所向,Target of attack,The direction of the edge
锱铢必较,Dispute over every detail,Baht must be compared
钱可通神,Money makes the mare go,Money can be transcendental
锦绣河山,Beautiful land,Splendid rivers and mountains
锦上添花,Win honor (or successes) one after another in quick succession,Icing on the cake
镜花水月,Flowers in a mirror and the moon in water - an illusion,Through the mirror
铁树开花,The iron tree in blossom - something seldom seen or hardly possible,Iron tree blossom
铁案如山,Borne out by ironclad evidence,The iron case is like a mountain
铸成大错,Make a gross error,Make a big mistake
鉴往知来,See visions of things by (or from) experiences,Learn from the past
长年累月,Year in year out,Over the years
长此以往,If things continue this way,For along time
门庭若市,A much visited house,Ting Ruo city
闭门造车,Draw up plans behind closed doors,Behind closed doors
闭门思过,Ponder over one's mistakes in solitude,Thought behind closed doors
闭目塞听,Shut one's eyes and stop up one's ears - be out of touch with reality,Close your eyes and listen
闭塞眼睛捉麻雀,Act blindly,Close your eyes to catch sparrows
开门见山,Put it bluntly,Straight to the point
开门揖盗,Ask for trouble,Open the door
开天辟地,Epoch-making,Open up the world
开花结果,Blossom bear fruit - yield positive results,Bloom and bear fruit
开卷有益,Reading enriches the mind,Unwinding is beneficial
开山祖师,A founder,The founder of the mountain
开源节流,Earn more income and cut down expenses,Open source and reduce expenditure
防不胜防,Impossible to defend effectively,Hard to guard against
防意如城,Guard the thoughts of the heart as you would defend a city,Defense is like a city
降龙伏虎,Subdue the dragon and tame the tiger - overcome powerful adversaries,Subduing the dragon and subduing the tiger
除旧布新,"Ring out the old, ring in the new",Remove old cloth and new
除恶务尽,Uproot (all) evils,Do away with evil
阴错阳差,(a mistake or error due to) a strange combination of circumstances,Yin and yang difference
陈陈相因,Follow a set routine,Chen Chen Xiangyin
阳奉阴违,Comply in public but oppose in private,Yang follows yin
隔墙有耳,Beware of eavesdroppers,Wall has ears
隔岸观火,Look on at somebody's trouble with indifference,Watching the fire from the other side
随波逐流,Follow the current (or crowd),Go with the flow
随风转舵,Take one's cue from changing conditions,Turn the rudder with the wind
随心所欲,Have (or get) one's own way,Do whatever you want
隐晦曲折,Veiled and round-about,Obscure twists and turns
隐恶扬善,Hide somebody's wrongdoing and praise his good deeds,Hide evil and promote good
雅俗共赏,Give pleasure both to the refined and the vulgar,Both refined and popular
集腋成裘,Many drops of water make an ocean,Combine armpits into fur
雕虫小技,Insignificant skill (especially in writing),Bug carving tricks
离乡背井,Leave one's native district,Away from home
雨后春笋,Spring up like mushrooms,Spring bamboo shoots
雪中送炭,Provide timely help,Charcoal in the snow
雪上加霜,One disaster after another,Make matters worse
云消云散,Vanish into thin air,The clouds dissipate
雷声大，雨点小,Much said but little done,"Thunder, little rain"
震古铄今,Earthshaking,Shocking the past and the present
青出于蓝，而胜于蓝,The pupil learns from and outdoes his teacher,The student surpasses the master
青云直上,Rapid advancement in one's career,Clouds go straight up
非驴非马,Neither ass nor horse,Not a donkey not a horse
靠山吃山，靠水吃水,Make use of local resources,"Relying on the mountains to eat the mountains, relying on the water to drink water"
靡靡之音,Decadent music,The Voice of Extravagance
面面相觑,Look at each other at a loss about what to do,Face to face
面目可憎，语言无味,Repulsive in appearance and flavorless in verbal expression,"Disgusting face, tasteless language"
革故鼎新,Discard the old ways of life in favor of the new,Revolutionizing the old
鞠躬尽瘁，死而后已,Give one's all till one's heart stops beating,Bow down and die
韬光养晦,Hide one's capacities and bide one's time,Keep a low profile
响彻云霄,Resound (or reverberate) through the skies,Resounding through the sky
响遏行云,(of singing) reverberate through the skies,Sound stop cloud
项背相望,(walk) one after another in close succession,Facing each other
项庄舞剑，意在沛公,Act with a hidden motive,"Xiang Zhuang dances the sword, aiming at Pei Gong"
顺藤摸瓜,Track down somebody or something by following clues,Follow the vine
顺理成章,Speak (or write) logically,It's a matter of course
顺手牵羊,Take something that doesn't belong to oneself,Take the sheep by the hand
顺水推舟,Do something without extra effort,Push the boat
顺水人情,A favor done at little cost to oneself,Shun Shui Favor
颂古非今,Eulogize the past at the expense of the present,Praise the past
顽石点头,(be so persuasive as to make) the insensate stones nod in agreement,Stubborn stone nod
头痛医头，脚痛医脚,Treat symptoms but not the disease,"Headache doctor head, foot pain doctor foot"
颠倒黑白,Prove that black is white and white black,Upside down black and white
顾名思义,As the term suggests,As the name suggests
顾前不顾后,Act rashly,Regardless of the future
顾全大局,Take the interests of the whole into account,Take the overall situation into consideration
顾此失彼,Be put in a double squeeze,Take care of one thing and lose another
顾影自怜,Look at one's reflection and admire oneself,Gu Ying feels sorry for herself
风靡一时,Be popular for a time,All the rage
风烛残年,Old and ailing like a candle guttering in the candlestick,Wind candle waning years
风声鹤唳,In a state of fear and turmoil,The sound of the wind
风餐露宿,Brave wind and dew,Wind meal camping
风雨同舟,Stand together through thick and thin,Through thick and thin
风云人物,A celebrity,Man of the Year
飞针走线,Do needlework very skilfully,Flying needle routing
飞沙走石,A sandstorm,Flying sand and stone
飞蛾投火,A seeking one's own doom,Moth to fire
食而不化,Eat without digesting - read without understanding,Eat without melting
饥寒交迫,Live in hunger and cold,Suffer hunger and cold
饮恨而终,Die with a grievance in one's heart,End with hatred
饮鸩止渴,A remedy worse than what it is supposed to cure,Drink poison to quench thirst
饭来张口，衣来伸手,Be waited on hand and foot,"Open your mouth with food, stretch out your hand with clothes"
饱汉不知饿汉饥,The well-fed don't know how the starving suffer,A full man does not know a hungry man is hungry
饱食终日，无所用心,Eat one's fill and idle about all day long,Eating all day long
饱以老拳,Hit one full in the face,Full of old fists
养虎遗患,Appeasement brings disaster,The legacy of raising tigers
余勇可贾,Still having plenty of fight left in one,Yu Yongke Jia
首鼠两端,Shilly-shally,Both ends of the first mouse
马到成功,Gain an immediate victory,Horse to success
马革裹尸,Die on the battle field,Die on the battlefield
骑虎难下,Have no way to back down,It's hard to ride a tiger
腾蛟起凤,A mounting dragon and a soaring phoenix - a rising man,Teng Jiao Qi Feng
骄兵必败,Pride goes before a fall (destruction),Pride will be defeated
驴头不对马嘴,Irrelevant,Donkey's head is wrong
骨鲠在喉,Have an opinion one cannot suppress,Bone stuck in throat
高不成，低不就,Can't have one's heart's desire but won't stoop for less,High or low
魂飞魄散,Frightened out of one's senses (or wits),Soul flies away
鱼龙混杂,Good and bad people mixed together,A mixed bag
鱼游釜中,In imminent peril (danger),Fish in the cauldron
鳞次栉比,"In orderly rows, like scales on a fish or the teeth of a comb",Row upon row
鸟尽弓藏,Cast aside the bow once the birds are gone,All the birds are hidden
鸣锣开道,Pave (clear or smooth) the way for,Ring the gong to clear the way
鸣鼓而攻,Sound the call for attack,Beat the drum
鹊巢鸠占,"One person seizes another's place, land, etc",Magpie nest dove account
鹑衣百结,In rags,Quail coat knot
鹤发童颜,Healthy in old age,He Fa Tong Yan
鹤立鸡群,Stand head and shoulders above others,Stand out from the crowd
鸡鸣狗盗,Small tricks,Crowing and dog thieves
鸡零狗碎,In bits and pieces,Chicken bits and pieces
鸡犬不宁,Greatly upset like a poultry yard visited by a fox,The dog is restless
鸡犬不惊,Complete peace and quiet,Chickens and dogs are not surprised
鹬蚌相争，渔翁得利,It's the third party that benefits from the tussle,"Two dogs fight, play off"
鹿死谁手,Who will win the prize,Who will kill the deer
黄粱一梦,Pipe dream,A dream of Huangliang
黑云压城城欲摧,The city might crumble under the mass of dark clouds,Dark clouds overwhelm the city
黔驴技穷,At one's wits' end,Guizhou donkey is poor
点金成铁,Turn gold into iron,Touch gold into iron
点石成金,Touch a stone and turn it into gold,Turn stone into gold
鼎足之势,A situation dominated by three powerful rivals,The momentum of the tripod
鼠窃狗盗,Play petty tricks on the sly,Rat and dog thief
齐头并进,Advance side by side,Go hand in hand
龙潭虎穴,Dangerous places,Longtan Tiger Cave
龙腾虎跃,A scene of bustling activity,Dragon and Tiger Leap
